MOUSEID,SEX,DIET,CHOICE_SESSION,PELLET_TYPE,AVG_BREAKPOINTS,MAX_PELLETS,COST,EFFICIENCY,AVG_INTER_PELLET_INTERVAL
FEDXDF1,F,PR,4,CAS5,42.666666666666664,66,29.48384965778942,0.9290192535162893,1264.0
FEDXDF1,F,PR,4,SUC,31.0,33,17.520317253368102,0.8882407537462854,2521.9375
FEDXDF2,F,PR,4,CAS5,8.8,77,24.408447383621553,0.940294332284774,1084.0263157894738
FEDXDF2,F,PR,4,SUC,4.0,47,22.554143346498698,0.9665143925143684,1758.7391304347825
FEDXDF3,F,PR,4,CAS5,18.0,63,24.78937058172217,0.9252778251696304,1316.483870967742
FEDXDF3,F,PR,4,SUC,10.0,48,21.587469093775756,0.8646829893522429,1712.6170212765958
FEDXDF4,F,PR,4,CAS5,18.857142857142858,80,11.21126133967775,0.9718624662973346,1036.3037974683543
FEDXDF4,F,PR,4,SUC,9.142857142857142,43,6.414755429267303,0.935530658457531,1936.8809523809523
FEDXDF5,F,PR,4,CAS5,14.0,55,23.373079785254877,0.9424965290113564,1481.7222222222222
FEDXDF5,F,PR,4,SUC,7.333333333333333,48,22.045782589084347,0.8377879196931713,1694.4468085106382
FEDXDF6,F,PR,4,CAS5,9.0,58,19.641318449645926,0.9428299709310435,1389.2456140350878
FEDXDF6,F,PR,4,SUC,6.0,39,14.866158440741906,0.9456549724412894,2065.5789473684213
FEDXDF7,F,PR,4,CAS5,30.0,79,23.00683731753755,0.9198344940514956,1045.7948717948718
FEDXDF7,F,PR,4,SUC,19.333333333333332,48,14.879693025355504,0.9019126754653994,1669.4468085106382
FEDXDF8,F,PR,4,CAS5,14.666666666666666,63,21.273373017270732,0.9865567320608056,1293.6774193548388
FEDXDF8,F,PR,4,SUC,12.0,41,20.545946704067322,0.9733856928331274,1943.55
FEDXDF9,F,PR,4,CAS5,25.333333333333332,80,20.38146661871321,0.9516319194950944,1035.8481012658228
FEDXDF9,F,PR,4,SUC,14.666666666666666,46,18.074378955840924,0.9401209911454577,1641.3333333333333
FEDXDF10,F,PR,4,CAS5,24.5,54,19.631570586366365,0.9205556075156991,1541.867924528302
FEDXDF10,F,PR,4,SUC,23.5,52,20.8096453743271,0.9629330025706017,1595.6274509803923
FEDXDF11,F,NR,4,CAS5,16.4,86,11.224405067625407,0.9637252956438016,967.564705882353
FEDXDF11,F,NR,4,SUC,9.0,42,8.043118965799378,0.8853414269503035,1949.7560975609756
FEDXDF12,F,NR,4,CAS5,13.5,62,16.48193241465072,0.9805016395586095,1349.0
FEDXDF12,F,NR,4,SUC,10.666666666666666,47,14.91225559036405,0.9294274681954829,1756.2391304347825
FEDXDF13,F,NR,4,CAS5,18.8,68,12.45840077695047,0.9414032495584573,1226.9701492537313
FEDXDF13,F,NR,4,SUC,10.4,40,7.6231884057971016,0.8514563769515061,2070.5384615384614
FEDXDF14,F,NR,4,CAS5,20.25,101,14.933951633873624,0.9436893249463818,827.98
FEDXDF14,F,NR,4,SUC,9.0,41,7.790916973769781,0.8311921088844433,2035.375
FEDXDF15,F,NR,4,CAS5,33.0,86,25.226808851361188,0.9733739460631492,969.2235294117647
FEDXDF15,F,NR,4,SUC,8.0,53,22.333880711692302,0.9536404414730435,1550.673076923077
FEDXDF16,F,NR,4,CAS5,31.2,83,21.065687818434462,0.9574280594621996,993.1585365853658
FEDXDF16,F,NR,4,SUC,32.0,52,16.260329048299212,0.9050952816340473,1609.8431372549019
FEDXDF17,F,NR,4,CAS5,24.5,78,15.503116368880306,0.9732280540778577,959.2207792207793
FEDXDF17,F,NR,4,SUC,18.0,59,11.548275188116877,0.9387901825967103,1396.2586206896551
FEDXDF18,F,NR,4,CAS5,42.5,91,23.459731406922586,0.9606219748507755,909.4111111111112
FEDXDF18,F,NR,4,SUC,28.5,60,16.984371803788406,0.9530947242756784,1378.3050847457628
FEDXDF19,F,NR,4,CAS5,22.5,98,20.304734441251533,0.9777694449618854,823.2783505154639
